time,address,binaryaddress,bank,row,column,delay,command
15775000, 120761152, 00000111001100101010101101000000, 0, 14741, 360, 43750, R
15780000, 120761216, 00000111001100101010101110000000, 0, 14741, 368, 43750, R
15785000, 120761280, 00000111001100101010101111000000, 0, 14741, 376, 43750, R
15790000, 120761344, 00000111001100101010110000000000, 0, 14741, 384, 43750, R
15795000, 120761408, 00000111001100101010110001000000, 0, 14741, 392, 43750, R
15800000, 120761472, 00000111001100101010110010000000, 0, 14741, 400, 43750, R
15805000, 120761536, 00000111001100101010110011000000, 0, 14741, 408, 43750, R
15810000, 120761600, 00000111001100101010110100000000, 0, 14741, 416, 43750, R
15815000, 120761664, 00000111001100101010110101000000, 0, 14741, 424, 43750, R
15820000, 120761728, 00000111001100101010110110000000, 0, 14741, 432, 43750, R
15825000, 120761792, 00000111001100101010110111000000, 0, 14741, 440, 43750, R
15830000, 120761856, 00000111001100101010111000000000, 0, 14741, 448, 43750, R
15835000, 120761920, 00000111001100101010111001000000, 0, 14741, 456, 43750, R
15840000, 120761984, 00000111001100101010111010000000, 0, 14741, 464, 43750, R
15845000, 120762048, 00000111001100101010111011000000, 0, 14741, 472, 43750, R
15850000, 120762112, 00000111001100101010111100000000, 0, 14741, 480, 43750, R
15855000, 120762176, 00000111001100101010111101000000, 0, 14741, 488, 43750, R
15860000, 120762240, 00000111001100101010111110000000, 0, 14741, 496, 43750, R
15865000, 120762304, 00000111001100101010111111000000, 0, 14741, 504, 43750, R
15870000, 120762368, 00000111001100101011000000000000, 0, 14741, 512, 43750, R
15875000, 120762432, 00000111001100101011000001000000, 0, 14741, 520, 43750, R
15880000, 120762496, 00000111001100101011000010000000, 0, 14741, 528, 43750, R
15885000, 120762560, 00000111001100101011000011000000, 0, 14741, 536, 43750, R
15890000, 120758528, 00000111001100101010000100000000, 0, 14741, 32, 43750, R
15895000, 114444288, 00000110110100100100100000000000, 0, 13970, 256, 71250, R
15900000, 29061184, 00000001101110110111000001000000, 0, 3547, 520, 113750, R
15905000, 87388480, 00000101001101010111000101000000, 0, 10667, 552, 156250, R
15910000, 58481024, 00000011011111000101100110000000, 0, 7138, 816, 198750, R
15915000, 7066816, 00000000011010111101010011000000, 0, 862, 664, 241250, R
15920000, 102843904, 00000110001000010100011000000000, 0, 12554, 192, 283750, R
15925000, 116679040, 00000110111101000110000110000000, 0, 14243, 48, 326250, R
15930000, 923456, 00000000000011100001011101000000, 0, 112, 744, 368750, R
15935000, 62644544, 00000011101110111110000101000000, 0, 7647, 40, 411250, R
15967500, 52394432, 00000011000111110111100111000000, 0, 6395, 824, 426250, R
16015000, 124168832, 00000111011001101010101010000000, 0, 15157, 336, 426250, R
16062500, 132572352, 00000111111001101110010011000000, 0, 16183, 152, 426250, R
16110000, 48309696, 00000010111000010010010111000000, 0, 5897, 184, 426250, R
16157500, 128849344, 00000111101011100001010111000000, 0, 15728, 696, 426250, R
16205000, 102875968, 00000110001000011100001101000000, 0, 12558, 104, 426250, R
16252500, 110787520, 00000110100110100111101111000000, 0, 13523, 888, 426250, R
16300000, 130088064, 00000111110000001111110010000000, 0, 15879, 912, 426250, R
16347500, 47934720, 00000010110110110110110100000000, 0, 5851, 416, 426250, R
16395000, 73503360, 00000100011000011001001010000000, 0, 8972, 592, 426250, R
16442500, 108504320, 00000110011101111010010100000000, 0, 13245, 160, 426250, R
16490000, 4664832, 00000000010001110010111000000000, 0, 569, 448, 426250, R
16537500, 122013440, 00000111010001011100011100000000, 0, 14894, 224, 426250, R
16585000, 100181824, 00000101111110001010011101000000, 0, 12229, 232, 426250, R
16632500, 17694528, 00000001000011011111111101000000, 0, 2159, 1000, 426250, R
16680000, 47326592, 00000010110100100010010110000000, 0, 5777, 176, 426250, R
16727500, 48384, 00000000000000001011110100000000, 0, 5, 928, 426250, R
16775000, 21612800, 00000001010010011100100100000000, 0, 2638, 288, 426250, R
16822500, 58721984, 00000011100000000000011011000000, 0, 7168, 216, 426250, R
16870000, 26906560, 00000001100110101000111111000000, 0, 3284, 504, 426250, R
16917500, 108195584, 00000110011100101110111100000000, 0, 13207, 480, 426250, R
16965000, 55049664, 00000011010001111111110111000000, 0, 6719, 952, 426250, R
17012500, 31349056, 00000001110111100101100101000000, 0, 3826, 808, 426250, R
17060000, 2059328, 00000000000111110110110001000000, 0, 251, 392, 426250, R
17107500, 2059392, 00000000000111110110110010000000, 0, 251, 400, 383750, R
17155000, 2059456, 00000000000111110110110011000000, 0, 251, 408, 341250, R
17202500, 2059520, 00000000000111110110110100000000, 0, 251, 416, 298750, R
